city_fips,city_name,cty_fips,rucc,y2020,geometry_wkt
5300100,"Aberdeen city, Washington",53027,4,17013,"MULTIPOLYGON (((-123.6969 47.01895, -123.6966 47.01967, -123.6968 47.02033, -123.6936 47.01978, -123.6905 47.01851, -123.6828 47.01843, -123.6829 47.01641, -123.6863 47.01639, -123.6863 47.01458, -123.6957 47.01452, -123.6966 47.01552, -123.6969 47.016, -123.6969 47.01895)), ((-123.7574 46.99483, -123.7362 46.99473, -123.7362 46.99023, -123.7314 46.99018, -123.7314 46.9893, -123.7362 46.9893, -123.7363 46.97691, -123.7363 46.97664, -123.7416 46.97666, -123.7416 46.97875, -123.7445 46.97989, -123.7468 46.9803, -123.7468 46.9818, -123.7502 46.98128, -123.756 46.9829, -123.7573 46.98258, -123.7574 46.99483)), ((-123.8603 46.98354, -123.8601 46.99546, -123.8414 46.99503, -123.828 46.99489, -123.8205 46.99484, -123.8156 46.99495, -123.8156 46.99574, -123.8205 46.99575, -123.8204 47.0002, -123.8203 47.00205, -123.812 47.002, -123.811 47.00152, -123.8077 46.9993, -123.8096 46.9948, -123.8041 46.99479, -123.8037 46.99479, -123.7861 46.9948, -123.7782 46.99483, -123.7783 46.99003, -123.7784 46.9876, -123.7784 46.98658, -123.7784 46.98174, -123.7784 46.98018, -123.7785 46.96877, -123.7784 46.96365, -123.7784 46.96252, -123.7835 46.96228, -123.7836 46.95884, -123.7812 46.95887, -123.7812 46.9558, -123.789 46.95518, -123.7891 46.94809, -123.7942 46.94804, -123.7942 46.95156, -123.7995 46.95152, -123.8135 46.95166, -123.8151 46.95161, -123.8204 46.95165, -123.8179 46.94808, -123.8153 46.94808, -123.8153 46.94421, -123.8153 46.94386, -123.8154 46.94083, -123.8208 46.94089, -123.8206 46.94814, -123.825 46.94816, -123.8261 46.94817, -123.8259 46.95161, -123.8422 46.95172, -123.8392 46.95066, -123.8373 46.95052, -123.8389 46.9487, -123.8382 46.94741, -123.8467 46.94377, -123.8491 46.94341, -123.8529 46.94343, -123.8539 46.9452, -123.8519 46.94571, -123.8525 46.94802, -123.8515 46.95047, -123.845 46.95174, -123.8513 46.95166, -123.8505 46.952, -123.8389 46.95395, -123.8411 46.95667, -123.8415 46.95707, -123.8446 46.96093, -123.8521 46.96437, -123.8522 46.97424, -123.8522 46.97604, -123.8522 46.97694, -123.8522 46.98056, -123.8545 46.9805, -123.8604 46.98055, -123.8603 46.98354), (-123.7942 46.95156, -123.7915 46.95158, -123.7914 46.95445, -123.7908 46.95448, -123.7908 46.955, -123.7942 46.95499, -123.7942 46.95156), (-123.8206 46.94814, -123.8183 46.94809, -123.8206 46.95135, -123.8206 46.94918, -123.8206 46.94814)))"
5301990,"Anacortes city, Washington",53057,3,17637,"MULTIPOLYGON (((-122.7023 48.49439, -122.7008 48.49598, -122.7016 48.49762, -122.6996 48.50013, -122.693 48.50015, -122.6919 48.50015, -122.6913 48.50304, -122.6888 48.50432, -122.6887 48.50629, -122.6845 48.50912, -122.6791 48.5078, -122.6782 48.50648, -122.6769 48.50448, -122.6714 48.50398, -122.658 48.50814, -122.6365 48.51482, -122.6155 48.52132, -122.6152 48.52143, -122.607 48.52215, -122.6 48.52095, -122.5978 48.51449, -122.5985 48.51217, -122.6043 48.51178, -122.6053 48.50911, -122.6062 48.5069, -122.6017 48.5047, -122.602 48.50234, -122.6014 48.49792, -122.6006 48.49251, -122.5957 48.48544, -122.5946 48.48512, -122.5914 48.48422, -122.5906 48.4833, -122.5913 48.48273, -122.5926 48.48173, -122.5923 48.48123, -122.5894 48.47587, -122.5892 48.47535, -122.5864 48.46846, -122.5856 48.46626, -122.5806 48.46374, -122.5749 48.46326, -122.5718 48.46626, -122.5718 48.46829, -122.5704 48.46309, -122.5653 48.46265, -122.5602 48.46177, -122.5579 48.46191, -122.5367 48.46627, -122.534 48.46591, -122.5333 48.46559, -122.5302 48.46424, -122.5277 48.4614, -122.5277 48.4607, -122.5305 48.46069, -122.5318 48.46317, -122.533 48.4608, -122.5385 48.46271, -122.5386 48.46151, -122.5399 48.45843, -122.544 48.45837, -122.5603 48.45849, -122.5657 48.45907, -122.5685 48.46013, -122.5709 48.46042, -122.571 48.46204, -122.5722 48.46275, -122.5796 48.46303, -122.5789 48.46123, -122.5819 48.46112, -122.5819 48.46054, -122.5869 48.46062, -122.5885 48.46229, -122.5927 48.46234, -122.5927 48.46371, -122.5898 48.46369, -122.5897 48.46475, -122.5859 48.46491, -122.5891 48.47377, -122.5925 48.47741, -122.5943 48.48105, -122.5974 48.48424, -122.6252 48.48439, -122.6254 48.4807, -122.6143 48.48063, -122.6142 48.47323, -122.606 48.47325, -122.606 48.47507, -122.6033 48.47508, -122.6032 48.4696, -122.5927 48.46966, -122.5927 48.46599, -122.5981 48.466, -122.5983 48.45531, -122.6088 48.45556, -122.6088 48.45191, -122.6075 48.44824, -122.6196 48.44839, -122.6197 48.452, -122.6307 48.45182, -122.6308 48.45503, -122.638 48.45464, -122.6398 48.45485, -122.6416 48.45636, -122.6416 48.45847, -122.6361 48.45841, -122.6364 48.46609, -122.6419 48.46598, -122.6421 48.46986, -122.6366 48.46998, -122.6361 48.47698, -122.637 48.48336, -122.6363 48.48427, -122.6672 48.48405, -122.6672 48.48406, -122.6683 48.48627, -122.6764 48.48958, -122.688 48.49194, -122.6916 48.49052, -122.6963 48.491, -122.7029 48.49201, -122.7023 48.49439)))"
5303075,"Asotin city, Washington",53003,3,1204,"MULTIPOLYGON (((-117.0633 46.34742, -117.0596 46.34495, -117.0595 46.3481, -117.056 46.34553, -117.0537 46.34461, -117.0517 46.34383, -117.0455 46.34249, -117.0345 46.34132, -117.0307 46.34031, -117.0277 46.33875, -117.0238 46.33598, -117.0231 46.33476, -117.0231 46.33463, -117.03 46.33448, -117.0284 46.33302, -117.0257 46.32724, -117.0329 46.32729, -117.033 46.33101, -117.0488 46.33102, -117.049 46.33479, -117.0541 46.33479, -117.0595 46.33481, -117.0596 46.33782, -117.0596 46.34426, -117.0622 46.34591, -117.0633 46.34742)))"
5305280,"Bellingham city, Washington",53073,3,91482,"MULTIPOLYGON (((-122.5317 48.80047, -122.5191 48.8008, -122.5159 48.80047, -122.5146 48.79876, -122.5084 48.79861, -122.5081 48.80429, -122.5053 48.80429, -122.5053 48.81509, -122.508 48.8151, -122.508 48.81705, -122.5052 48.817, -122.497 48.81695, -122.497 48.8175, -122.486 48.81741, -122.486 48.80789, -122.4809 48.80787, -122.4808 48.80423, -122.4639 48.80392, -122.4588 48.804, -122.4587 48.7969, -122.4481 48.79674, -122.4482 48.80039, -122.4344 48.80043, -122.4344 48.79304, -122.4371 48.79304, -122.4371 48.79123, -122.4398 48.79121, -122.4398 48.78941, -122.4329 48.78941, -122.4216 48.78926, -122.4215 48.78949, -122.421 48.79323, -122.4178 48.79324, -122.4172 48.79324, -122.4155 48.79434, -122.4142 48.79226, -122.4154 48.79187, -122.4155 48.78592, -122.4202 48.78561, -122.421 48.78221, -122.421 48.77454, -122.421 48.77406, -122.4099 48.77425, -122.4099 48.77237, -122.4099 48.77154, -122.3991 48.77143, -122.3991 48.75644, -122.4034 48.75537, -122.4114 48.75339, -122.4153 48.7534, -122.4153 48.75163, -122.4179 48.75161, -122.4208 48.75119, -122.4208 48.7388, -122.4209 48.73532, -122.4327 48.73528, -122.4425 48.73535, -122.4467 48.73499, -122.4466 48.73355, -122.4536 48.73359, -122.4536 48.72626, -122.454 48.70642, -122.4452 48.70649, -122.439 48.70624, -122.4374 48.70572, -122.4266 48.69982, -122.4247 48.69922, -122.4229 48.69864, -122.423 48.68976, -122.425 48.68954, -122.4316 48.69129, -122.4402 48.6932, -122.4442 48.69367, -122.4442 48.69556, -122.4492 48.69555, -122.4491 48.69372, -122.4549 48.69553, -122.4768 48.69571, -122.4793 48.69575, -122.4979 48.69578, -122.4993 48.69787, -122.4988 48.6986, -122.4974 48.70069, -122.5 48.70273, -122.5043 48.70069, -122.5081 48.69881, -122.5069 48.69536, -122.5045 48.69144, -122.5046 48.68899, -122.5056 48.68935, -122.5056 48.68937, -122.5064 48.68965, -122.5072 48.68993, -122.513 48.69708, -122.5156 48.70154, -122.5153 48.70224, -122.5143 48.70421, -122.5162 48.70825, -122.5162 48.70834, -122.5192 48.7131, -122.5192 48.71716, -122.5155 48.72099, -122.5133 48.72249, -122.5083 48.7218, -122.5076 48.72171, -122.5057 48.72452, -122.5058 48.72544, -122.5061 48.72805, -122.5026 48.73253, -122.4997 48.73284, -122.4996 48.73297, -122.4989 48.73394, -122.4956 48.73863, -122.4912 48.7424, -122.4913 48.74247, -122.4945 48.74554, -122.4944 48.74561, -122.4905 48.74789, -122.4905 48.7492, -122.4904 48.75113, -122.4945 48.75337, -122.4955 48.75334, -122.4971 48.75328, -122.5064 48.75463, -122.5124 48.75713, -122.5126 48.75756, -122.5133 48.75881, -122.5095 48.7625, -122.5163 48.76444, -122.5154 48.76607, -122.5122 48.76784, -122.508 48.76823, -122.5079 48.76954, -122.508 48.76973, -122.5099 48.76984, -122.5114 48.76973, -122.5179 48.7709, -122.5179 48.77684, -122.518 48.78244, -122.5187 48.78244, -122.5187 48.78424, -122.5229 48.78422, -122.5242 48.78599, -122.5242 48.78961, -122.5269 48.7896, -122.5269 48.79324, -122.5245 48.79324, -122.5317 48.80047)))"
5306505,"Blaine city, Washington",53073,3,5884,"MULTIPOLYGON (((-122.7972 48.97228, -122.7969 48.97503, -122.7743 48.99104, -122.7686 48.99149, -122.7663 48.99167, -122.7596 48.99574, -122.7544 48.99725, -122.756 48.99951, -122.758 49.00236, -122.744 49.00235, -122.7385 49.00235, -122.7362 49.00235, -122.7353 49.00235, -122.7054 49.00233, -122.6558 49.00231, -122.6556 48.99352, -122.7037 48.99392, -122.7052 48.99392, -122.723 48.99395, -122.724 48.99212, -122.724 48.99047, -122.7255 48.99047, -122.7255 48.98095, -122.7215 48.98094, -122.7214 48.97909, -122.7202 48.97907, -122.7201 48.9725, -122.7196 48.97205, -122.7201 48.97181, -122.7192 48.97104, -122.7192 48.96964, -122.722 48.97153, -122.7257 48.97393, -122.7257 48.97231, -122.7271 48.97244, -122.7285 48.97239, -122.7307 48.9726, -122.7469 48.97263, -122.7593 48.98196, -122.7634 48.98532, -122.7663 48.98768, -122.7662 48.98623, -122.768 48.9854, -122.7752 48.98402, -122.7779 48.98274, -122.7814 48.97731, -122.7776 48.9747, -122.7786 48.97132, -122.7713 48.97176, -122.7709 48.96986, -122.764 48.97028, -122.7634 48.96934, -122.7587 48.96255, -122.7599 48.96221, -122.7639 48.9636, -122.7708 48.96472, -122.7709 48.95069, -122.7924 48.95098, -122.7918 48.96921, -122.8004 48.96936, -122.7972 48.97228)))"
5307695,"Bremerton city, Washington",53035,2,43505,"MULTIPOLYGON (((-122.6973 47.52354, -122.696 47.52466, -122.6916 47.52463, -122.6894 47.52641, -122.6889 47.52642, -122.6841 47.52709, -122.6837 47.52531, -122.6789 47.5253, -122.6789 47.51983, -122.6818 47.5198, -122.6818 47.51777, -122.6834 47.51777, -122.6834 47.51686, -122.6789 47.51688, -122.6791 47.51235, -122.695 47.5123, -122.6948 47.51695, -122.6975 47.51696, -122.6973 47.52354)), ((-122.773 47.56882, -122.7625 47.5687, -122.7625 47.5669, -122.773 47.56703, -122.773 47.56882)), ((-122.7783 47.56709, -122.773 47.56703, -122.773 47.56343, -122.7783 47.56349, -122.7783 47.56709)), ((-122.8053 47.54216, -122.8052 47.54574, -122.7945 47.5456, -122.7943 47.54919, -122.7889 47.54912, -122.7891 47.54556, -122.7838 47.54551, -122.7836 47.55272, -122.7783 47.55269, -122.7783 47.55629, -122.7783 47.55989, -122.773 47.55984, -122.773 47.56343, -122.7466 47.56327, -122.7414 47.56329, -122.7414 47.55608, -122.7416 47.54523, -122.7362 47.54527, -122.7362 47.54888, -122.7218 47.54901, -122.7212 47.55059, -122.716 47.55575, -122.716 47.54906, -122.7125 47.54907, -122.7107 47.54907, -122.7107 47.5527, -122.7054 47.5527, -122.7055 47.55753, -122.7067 47.55997, -122.7051 47.56185, -122.7053 47.56184, -122.7052 47.56897, -122.7073 47.56841, -122.7086 47.57088, -122.7103 47.57087, -122.7113 47.57087, -122.7116 47.57174, -122.7118 47.57227, -122.7121 47.57227, -122.7118 47.57169, -122.7121 47.57163, -122.7118 47.57086, -122.7151 47.57087, -122.7157 47.57087, -122.7159 47.5636, -122.7182 47.55852, -122.7221 47.55626, -122.7259 47.55463, -122.7272 47.55439, -122.7285 47.55468, -122.7292 47.55519, -122.7296 47.55614, -122.7286 47.56192, -122.7276 47.56419, -122.7258 47.56576, -122.7249 47.56935, -122.7244 47.57454, -122.7227 47.57642, -122.7213 47.57685, -122.7205 47.57581, -122.7173 47.57708, -122.7167 47.5782, -122.7165 47.57836, -122.7155 47.57893, -122.7155 47.57976, -122.7153 47.58085, -122.7151 47.58181, -122.7147 47.58042, -122.7123 47.57956, -122.7111 47.5803, -122.7101 47.58087, -122.7068 47.58056, -122.7067 47.58079, -122.7049 47.58091, -122.7048 47.58272, -122.7017 47.58295, -122.7016 47.58091, -122.6997 47.58091, -122.6994 47.58528, -122.6994 47.58545, -122.6989 47.59633, -122.6978 47.59634, -122.6893 47.59635, -122.6881 47.59529, -122.6831 47.59488, -122.6825 47.59645, -122.682 47.59681, -122.6789 47.59767, -122.6735 47.59612, -122.6732 47.59533, -122.6725 47.59441, -122.6728 47.59062, -122.6728 47.57832, -122.6712 47.57881, -122.6689 47.57882, -122.6678 47.57509, -122.6651 47.57624, -122.6633 47.57246, -122.6597 47.57238, -122.6597 47.57511, -122.6614 47.57557, -122.662 47.57884, -122.6597 47.57911, -122.6597 47.5794, -122.6616 47.58024, -122.6622 47.58475, -122.661 47.58981, -122.6601 47.59093, -122.6538 47.58995, -122.6524 47.58882, -122.6501 47.58633, -122.6498 47.58649, -122.6452 47.58778, -122.6457 47.59011, -122.6484 47.59018, -122.6484 47.592, -122.6508 47.59261, -122.6555 47.59178, -122.6565 47.59133, -122.6589 47.5921, -122.6593 47.59733, -122.6591 47.59858, -122.6507 47.59994, -122.6504 47.60301, -122.6451 47.60301, -122.6453 47.59917, -122.6399 47.59923, -122.6398 47.60139, -122.6372 47.60018, -122.6346 47.60018, -122.6341 47.60687, -122.6288 47.60689, -122.6234 47.60688, -122.6209 47.60687, -122.6213 47.59564, -122.6185 47.59563, -122.6196 47.59514, -122.6198 47.59198, -122.6188 47.58957, -122.6216 47.58979, -122.6216 47.58835, -122.6188 47.58836, -122.6169 47.58833, -122.6161 47.59015, -122.6134 47.58987, -122.6135 47.58835, -122.6152 47.58832, -122.6148 47.5838, -122.6136 47.5838, -122.6082 47.58384, -122.6083 47.58108, -122.6029 47.58106, -122.603 47.57727, -122.6061 47.57707, -122.6063 47.57407, -122.603 47.57393, -122.6068 47.56996, -122.6075 47.56922, -122.6104 47.56755, -122.6139 47.56744, -122.6174 47.57078, -122.6213 47.57134, -122.6214 47.57127, -122.6226 47.56935, -122.6231 47.56864, -122.6237 47.56395, -122.6257 47.56172, -122.6264 47.56094, -122.6364 47.5599, -122.6424 47.55651, -122.6524 47.55579, -122.6552 47.55447, -122.6571 47.55362, -122.6566 47.5554, -122.6587 47.5546, -122.6595 47.55646, -122.662 47.55642, -122.6625 47.56004, -122.6645 47.56036, -122.6638 47.56551, -122.6647 47.56551, -122.6678 47.56556, -122.6678 47.56376, -122.6702 47.56371, -122.6704 47.56225, -122.6731 47.56217, -122.6731 47.56065, -122.6717 47.55943, -122.6695 47.55801, -122.6706 47.55334, -122.67 47.54912, -122.6708 47.54905, -122.6722 47.54818, -122.6787 47.54805, -122.6791 47.54751, -122.6796 47.54549, -122.6829 47.54546, -122.6842 47.54548, -122.6947 47.54544, -122.6947 47.54589, -122.7 47.54544, -122.7 47.5418, -122.7026 47.5418, -122.7026 47.53907, -122.7052 47.53816, -122.7051 47.53452, -122.7076 47.53451, -122.7079 47.53076, -122.7079 47.53052, -122.7079 47.52911, -122.7131 47.52831, -122.7145 47.52399, -122.7132 47.5235, -122.7132 47.52005, -122.7212 47.52002, -122.7212 47.52166, -122.7204 47.5238, -122.7202 47.5243, -122.7232 47.52355, -122.7294 47.52002, -122.7363 47.52, -122.7363 47.51543, -122.7422 47.51146, -122.7417 47.51115, -122.7414 47.50924, -122.7392 47.50918, -122.7362 47.50685, -122.7361 47.50175, -122.7412 47.50198, -122.7412 47.49469, -122.7463 47.49492, -122.7461 47.49129, -122.7514 47.49157, -122.7513 47.48414, -122.7412 47.4837, -122.7413 47.47492, -122.7619 47.46476, -122.767 47.46563, -122.767 47.46923, -122.7724 47.46917, -122.7724 47.46481, -122.7751 47.46506, -122.7778 47.4666, -122.7779 47.46162, -122.8006 47.46195, -122.8007 47.46956, -122.7986 47.4681, -122.7957 47.47005, -122.7987 47.47201, -122.7964 47.47357, -122.7935 47.47161, -122.7897 47.47421, -122.7922 47.47641, -122.7812 47.48403, -122.7784 47.48405, -122.7786 47.48584, -122.7794 47.49738, -122.7795 47.50478, -122.7765 47.50478, -122.7763 47.50663, -122.7781 47.50663, -122.778 47.51001, -122.7757 47.51001, -122.7752 47.51338, -122.7741 47.51337, -122.774 47.51493, -122.7741 47.51681, -122.7698 47.51678, -122.7687 47.51713, -122.7685 47.52517, -122.7684 47.52741, -122.779 47.52748, -122.7791 47.52553, -122.7792 47.52387, -122.8008 47.52401, -122.8006 47.53027, -122.8006 47.5305, -122.8002 47.53844, -122.8054 47.53856, -122.8053 47.54216), (-122.7573 47.50461, -122.7519 47.50417, -122.7516 47.50435, -122.7501 47.50487, -122.7463 47.5022, -122.7463 47.50392, -122.7488 47.50567, -122.7472 47.50627, -122.7441 47.50576, -122.7469 47.5076, -122.7477 47.50704, -122.7478 47.50948, -122.7518 47.50965, -122.7517 47.50826, -122.7534 47.50832, -122.7574 47.50644, -122.7573 47.50461), (-122.6946 47.56362, -122.6919 47.56363, -122.692 47.55997, -122.6907 47.55997, -122.6907 47.5582, -122.6893 47.55821, -122.6894 47.55633, -122.68 47.55633, -122.6799 47.55818, -122.6813 47.55909, -122.6839 47.55908, -122.6839 47.56, -122.6866 47.55999, -122.6866 47.56458, -122.6872 47.56546, -122.6892 47.56546, -122.6892 47.56768, -122.6892 47.5691, -122.6945 47.56907, -122.6943 47.56732, -122.6939 47.56649, -122.6946 47.56639, -122.6946 47.56503, -122.6929 47.56504, -122.6946 47.56362)))"
5308920,"Burlington city, Washington",53057,3,9152,"MULTIPOLYGON (((-122.3571 48.47262, -122.352 48.47252, -122.3519 48.47541, -122.3424 48.47534, -122.3424 48.47856, -122.3416 48.48063, -122.3413 48.48113, -122.337 48.48485, -122.3356 48.48359, -122.3351 48.48384, -122.3347 48.4931, -122.3239 48.49301, -122.3243 48.48954, -122.3216 48.49013, -122.3187 48.48968, -122.3192 48.48248, -122.3196 48.48085, -122.3138 48.48067, -122.3138 48.48325, -122.3121 48.48396, -122.3085 48.48384, -122.3086 48.48234, -122.3085 48.47884, -122.3085 48.4754, -122.3112 48.47543, -122.3112 48.47341, -122.3085 48.47384, -122.3085 48.47467, -122.3069 48.4726, -122.3085 48.47161, -122.3083 48.46716, -122.3103 48.46663, -122.3119 48.46431, -122.3126 48.46097, -122.3164 48.45886, -122.3199 48.45557, -122.3211 48.45312, -122.3205 48.4488, -122.321 48.44642, -122.3222 48.44571, -122.3248 48.44549, -122.3369 48.44465, -122.3411 48.44482, -122.3469 48.44557, -122.3469 48.45033, -122.3478 48.45749, -122.3465 48.45759, -122.3465 48.46042, -122.3465 48.46104, -122.3465 48.46822, -122.3475 48.46892, -122.3475 48.46922, -122.3487 48.46883, -122.3506 48.46885, -122.3506 48.47189, -122.3571 48.47198, -122.3571 48.47262)))"
5310495,"Cashmere city, Washington",53007,3,3248,"MULTIPOLYGON (((-120.4917 47.52444, -120.491 47.52327, -120.4904 47.52359, -120.4863 47.52222, -120.4863 47.52213, -120.4846 47.52386, -120.4827 47.52262, -120.476 47.52173, -120.4756 47.52167, -120.4754 47.5224, -120.4738 47.52361, -120.4684 47.52557, -120.457 47.52241, -120.4545 47.52078, -120.4535 47.52073, -120.4505 47.51854, -120.4485 47.51631, -120.4476 47.51545, -120.4469 47.51414, -120.4473 47.51082, -120.4482 47.50799, -120.449 47.50733, -120.4544 47.51346, -120.4578 47.51613, -120.4586 47.51559, -120.4608 47.51662, -120.463 47.51662, -120.4632 47.51584, -120.459 47.5128, -120.4589 47.51169, -120.4637 47.51225, -120.4656 47.51207, -120.4684 47.51297, -120.4726 47.51299, -120.4725 47.51245, -120.4749 47.5119, -120.4787 47.51064, -120.4791 47.5117, -120.4803 47.51235, -120.4806 47.51522, -120.4859 47.51521, -120.486 47.51701, -120.4885 47.51702, -120.4886 47.52076, -120.4915 47.52072, -120.4917 47.52444), (-120.4861 47.51875, -120.4828 47.51876, -120.4837 47.51941, -120.4843 47.52073, -120.4836 47.52072, -120.4837 47.52136, -120.4863 47.52114, -120.4861 47.51875), (-120.48 47.51902, -120.4771 47.5188, -120.4766 47.51772, -120.4755 47.51894, -120.4756 47.51993, -120.4757 47.51998, -120.4759 47.52003, -120.476 47.52014, -120.4761 47.52028, -120.4761 47.52042, -120.4761 47.52056, -120.4762 47.52064, -120.4762 47.52067, -120.4765 47.52034, -120.4788 47.52069, -120.4793 47.51946, -120.48 47.51902)))"
5310565,"Castle Rock city, Washington",53015,3,2446,"MULTIPOLYGON (((-122.9283 46.28547, -122.913 46.28549, -122.9099 46.28363, -122.9083 46.28138, -122.9055 46.28034, -122.9055 46.28425, -122.9039 46.28626, -122.9024 46.28656, -122.8975 46.28987, -122.8912 46.28992, -122.8912 46.289, -122.8938 46.28898, -122.8937 46.2863, -122.8975 46.2857, -122.8963 46.28457, -122.8963 46.27935, -122.8997 46.27904, -122.8977 46.27547, -122.9004 46.27527, -122.9022 46.27536, -122.8992 46.27166, -122.9034 46.27166, -122.9033 46.26744, -122.8991 46.26466, -122.8934 46.26456, -122.89 46.26021, -122.889 46.2601, -122.8913 46.26437, -122.8908 46.26437, -122.8858 46.26434, -122.8858 46.26138, -122.8821 46.26071, -122.8808 46.26073, -122.8807 46.25602, -122.8807 46.25516, -122.8842 46.25563, -122.8865 46.25559, -122.8849 46.25227, -122.8885 46.24697, -122.89 46.24648, -122.8909 46.24724, -122.8931 46.24983, -122.8956 46.25324, -122.8982 46.25832, -122.9004 46.26282, -122.902 46.26445, -122.9053 46.26666, -122.91 46.26684, -122.9128 46.26631, -122.9156 46.26579, -122.9158 46.26555, -122.9181 46.26376, -122.9242 46.26589, -122.9258 46.26579, -122.9237 46.27158, -122.9247 46.27458, -122.9234 46.27645, -122.9219 46.27628, -122.9213 46.27761, -122.9197 46.28164, -122.9239 46.28141, -122.9239 46.28323, -122.9222 46.28359, -122.9289 46.28355, -122.9283 46.28547)))"
5311160,"Centralia city, Washington",53041,4,18183,"MULTIPOLYGON (((-123.0187 46.73561, -123.0177 46.73555, -123.0144 46.73565, -123.0142 46.74412, -123.0069 46.74521, -123.006 46.74601, -123.003 46.74601, -123.0036 46.74217, -123.0062 46.7427, -123.0071 46.73849, -123.0057 46.73927, -122.9999 46.73929, -122.9994 46.74095, -122.9984 46.74066, -122.9985 46.73557, -122.9922 46.73554, -122.9915 46.73773, -122.993 46.7393, -122.9885 46.73924, -122.9885 46.73582, -122.986 46.73567, -122.9859 46.74029, -122.9818 46.74023, -122.9818 46.74137, -122.9761 46.73643, -122.9751 46.73566, -122.9751 46.73546, -122.9744 46.73545, -122.9744 46.73685, -122.9713 46.73683, -122.9713 46.73723, -122.9685 46.73722, -122.9685 46.73648, -122.9661 46.73644, -122.9661 46.73537, -122.9644 46.73533, -122.966 46.73336, -122.966 46.73095, -122.9601 46.73237, -122.9564 46.72976, -122.9537 46.73065, -122.9538 46.73389, -122.9581 46.73439, -122.9581 46.73536, -122.9558 46.73537, -122.9559 46.73655, -122.959 46.73604, -122.959 46.73896, -122.9622 46.73898, -122.9621 46.74259, -122.9611 46.74258, -122.9589 46.74497, -122.959 46.74627, -122.9539 46.74615, -122.9536 46.7491, -122.9507 46.75284, -122.9482 46.75487, -122.9471 46.75667, -122.945 46.75612, -122.945 46.74247, -122.9524 46.74251, -122.9524 46.7407, -122.9511 46.7407, -122.9512 46.73678, -122.9526 46.73549, -122.9503 46.73539, -122.9503 46.73389, -122.9486 46.7344, -122.95 46.73671, -122.9491 46.73839, -122.945 46.73785, -122.9431 46.73885, -122.9426 46.73884, -122.9452 46.73356, -122.9397 46.73353, -122.9377 46.733, -122.9358 46.73394, -122.9357 46.7352, -122.9312 46.73519, -122.9305 46.73294, -122.933 46.72965, -122.933 46.72774, -122.9344 46.7277, -122.9344 46.72874, -122.9369 46.72864, -122.9364 46.72776, -122.9397 46.72761, -122.9397 46.7255, -122.9371 46.72595, -122.9318 46.72593, -122.9318 46.72407, -122.9292 46.72408, -122.9292 46.72227, -122.9267 46.72227, -122.9267 46.72052, -122.924 46.72046, -122.924 46.71686, -122.9343 46.71685, -122.9344 46.71269, -122.9331 46.7127, -122.9331 46.71128, -122.934 46.71109, -122.9358 46.71173, -122.9358 46.71237, -122.937 46.71237, -122.937 46.71163, -122.9396 46.71162, -122.9396 46.7124, -122.9413 46.71244, -122.9413 46.71321, -122.9426 46.7132, -122.9426 46.71222, -122.9425 46.70961, -122.9501 46.70958, -122.9501 46.70599, -122.9527 46.70603, -122.9527 46.7019, -122.95 46.70188, -122.9501 46.69945, -122.9501 46.69155, -122.9527 46.69168, -122.9527 46.69386, -122.9527 46.69486, -122.955 46.69485, -122.9553 46.69447, -122.9572 46.69447, -122.9572 46.69177, -122.9645 46.69177, -122.9648 46.69177, -122.9659 46.69193, -122.9687 46.69229, -122.9676 46.69903, -122.9641 46.69898, -122.9634 46.70115, -122.9633 46.70409, -122.9673 46.70416, -122.9675 46.70264, -122.971 46.70269, -122.971 46.70487, -122.9727 46.70489, -122.9737 46.70633, -122.9754 46.709, -122.976 46.71, -122.9815 46.70969, -122.982 46.70822, -122.9817 46.70617, -122.9868 46.70625, -122.9868 46.70648, -122.987 46.70647, -122.9887 46.70646, -122.9887 46.70768, -122.991 46.70773, -122.9911 46.71017, -122.9955 46.70966, -122.9964 46.70745, -122.9983 46.70742, -122.9983 46.70645, -123.0036 46.70637, -123.0036 46.71002, -123.0088 46.70993, -123.0085 46.71367, -123.0089 46.71411, -123.008 46.71437, -123.0077 46.71773, -123.0018 46.71599, -123.0011 46.7161, -122.9998 46.71711, -122.9922 46.71717, -122.9873 46.71871, -122.988 46.72396, -122.988 46.72322, -122.991 46.72316, -122.9906 46.72615, -122.9934 46.72713, -122.9959 46.72714, -122.9946 46.73015, -122.9968 46.73016, -122.9968 46.73202, -122.9997 46.73203, -123.0064 46.73202, -123.0066 46.72722, -123.0073 46.72565, -123.009 46.72707, -123.009 46.72378, -123.0116 46.72396, -123.0138 46.7229, -123.0164 46.72588, -123.0176 46.72868, -123.0167 46.7304, -123.0202 46.73537, -123.0187 46.73561), (-122.9818 46.71806, -122.9817 46.71438, -122.9808 46.71369, -122.978 46.71366, -122.9773 46.71657, -122.9779 46.71772, -122.9818 46.71935, -122.9818 46.71806), (-122.945 46.72042, -122.9416 46.71953, -122.9371 46.72039, -122.9344 46.7204, -122.9344 46.72228, -122.9371 46.72305, -122.9418 46.72315, -122.945 46.72405, -122.945 46.72042)))"
