city_fips,city_name,cty_fips,rucc,y2020,geometry_wkt
1800748,"Akron town, Indiana",18049,7,1125,"MULTIPOLYGON (((3347891 -8734.79, 3348241 -8546.905, 3348125 -8308.559, 3348317 -8211.152, 3348412 -8399.142, 3348652 -8438.833, 3349009 -8255.014, 3349210 -8141.288, 3349387 -8493.184, 3349217 -8691.678, 3349434 -9123.829, 3348201 -9363.453, 3347891 -8734.79)))"
1800802,"Albany town, Indiana",18035,3,2295,"MULTIPOLYGON (((3443678 -53451.4, 3443987 -53289.13, 3444140 -53597.17, 3444549 -53387.42, 3444386 -53071.68, 3444751 -52885.25, 3444652 -52693.54, 3444862 -52587.89, 3444890 -52361.87, 3445245 -52174.95, 3445077 -51839.09, 3445450 -51679.86, 3445402 -51589.7, 3445040 -51762.87, 3444700 -51088.6, 3445032 -50914.18, 3445420 -50714.95, 3445703 -51267.67, 3446069 -51080, 3446526 -51964.79, 3446644 -52193.87, 3446694 -52167.36, 3446997 -52122.78, 3447176 -52471.36, 3446859 -52611.54, 3446929 -52747.25, 3446777 -52713.89, 3446456 -52871.53, 3446580 -53119.58, 3446337 -53349.01, 3445687 -53686.92, 3444973 -54052.19, 3444637 -54248.88, 3444509 -53987.51, 3444188 -54147.1, 3444136 -54043.73, 3444076 -54074.35, 3443964 -54033.04, 3443678 -53451.4), (3445103 -51219.22, 3445227 -51193.54, 3445202 -51079.73, 3445109 -51076.89, 3445053 -51075.17, 3445060 -51333.75, 3445103 -51219.22)))"
1800820,"Albion town, Indiana",18113,6,2222,"MULTIPOLYGON (((3375349 49350.52, 3375742 49415.89, 3375876 49172.55, 3376231 49357.29, 3376049 49725.88, 3376306 49855.09, 3376203 50069.99, 3375946 49942.78, 3375857 50126.24, 3376104 50250.26, 3375901 50675.97, 3375771 50610.52, 3375724 50703.77, 3375665 50823.27, 3375904 50941.15, 3375936 50876.55, 3376965 51395.83, 3377317 50670.37, 3376925 50466.68, 3377230 49884.85, 3377368 49962.28, 3377514 49839.62, 3377994 50077.09, 3378049 50102.99, 3378777 50470.68, 3378961 50057.18, 3378604 49873.9, 3378713 49656.79, 3378353 49515.19, 3378073 49405.18, 3378151 49270.32, 3377808 49128.23, 3377854 49036.27, 3377612 48914.67, 3377950 48251.95, 3377933 48244.14, 3378103 47895.49, 3377925 47807.27, 3377753 48158.82, 3377601 48469.39, 3377363 48350.95, 3377257 48646.36, 3377058 48544.58, 3377000 48663.08, 3376409 48344.51, 3376254 48694.32, 3376044 48612.93, 3375853 48983.98, 3375621 48871, 3375349 49350.52)))"
1801612,"Andrews town, Indiana",18069,6,1048,"MULTIPOLYGON (((3388847 -11073.65, 3389172 -10905.16, 3389256 -11078.32, 3389443 -10983.05, 3389549 -10839.06, 3389348 -10436.64, 3389007 -10612.03, 3388920 -10426.25, 3389295 -10120.27, 3389455 -9812.551, 3389632 -9988.429, 3389939 -10592.91, 3390292 -10412.94, 3390232 -10543.82, 3390355 -10772.83, 3390440 -10730.61, 3390544 -10946.82, 3390456 -10989.49, 3390659 -11394.27, 3390478 -11202.58, 3390361 -11172.63, 3390256 -11306.03, 3390042 -11345.55, 3389970 -11435.43, 3389666 -11585.89, 3389804 -11864.9, 3389506 -12020.22, 3389205 -11655.5, 3389062 -11373.26, 3388942 -11306.62, 3388847 -11073.65)))"
1801666,"Angola city, Indiana",18151,7,9340,"MULTIPOLYGON (((3392294 87053.12, 3392360 86923.89, 3392502 87016.61, 3392449 87131.15, 3392626 87220.42, 3392641 87275.07, 3392940 87461.24, 3393038 87524.83, 3392883 87705.8, 3392667 88159.05, 3393494 88595.56, 3393581 88419.74, 3394188 88714.35, 3394258 88579.45, 3394437 88670.12, 3394542 88453.95, 3394848 88611.05, 3394763 88796.41, 3394948 88865.91, 3394935 89019.22, 3395107 89110.97, 3394989 89343.38, 3395426 89565.49, 3395566 89282.85, 3396021 89507.45, 3395871 89784.87, 3395787 89841.03, 3395502 89687.77, 3394786 91083.13, 3395010 91221.1, 3394955 91329.94, 3395076 91390.99, 3394957 91622.87, 3394595 91445.3, 3394346 91952.01, 3394010 91782.69, 3394081 91641.8, 3393874 91539.77, 3393718 91845.51, 3393910 92124.36, 3394060 92490.36, 3394114 92705.47, 3394141 93112.95, 3394113 93294.19, 3394469 93479.08, 3394386 93641.09, 3394825 93850.56, 3395023 93712.71, 3395166 93714.82, 3395335 93562.78, 3395408 93665.28, 3395531 93615.78, 3395631 93370.79, 3395127 93098.89, 3395484 92380.34, 3396046 92670.3, 3396014 92092.89, 3396374 92282.9, 3396429 92681, 3396641 92785.56, 3396934 92202.88, 3396571 92019.7, 3396747 91676.33, 3396962 91758.76, 3397142 91393.15, 3396949 91294.8, 3397175 90854.56, 3397017 90761.67, 3397163 90481.67, 3396965 90373.6, 3397039 90228.23, 3397237 90327.44, 3397343 90119.83, 3397627 89755.32, 3398169 89960.4, 3398847 90293.82, 3398851 90285.78, 3398862 90291.51, 3399339 89323.99, 3398980 89140.4, 3398937 89220.15, 3398568 89240.58, 3398517 89168.22, 3398254 89097.09, 3398367 88986.46, 3398427 88765.13, 3398310 88900.2, 3398012 88674.15, 3397846 88486.88, 3397550 88354.94, 3397626 88206.38, 3397541 88158.27, 3397739 87569.46, 3397476 87432.2, 3397321 87544.3, 3397279 87790.5, 3396700 87491.8, 3396451 87757.23, 3396643 87913.34, 3396395 87859.57, 3396095 87631.38, 3395905 87993.53, 3395359 87712.85, 3395177 87996.6, 3394671 87747.35, 3394577 87772.93, 3394284 87622.33, 3394465 87262.16, 3394102 87072.67, 3393918 87432.15, 3393565 87250.6, 3393753 86889.33, 3393338 86674.93, 3393203 86819.44, 3393045 86762.84, 3393141 86574.95, 3392663 86332.49, 3392232 87022.06, 3392294 87053.12)))"
1802044,"Argos town, Indiana",18099,6,1777,"MULTIPOLYGON (((3320668 2483.703, 3320657 2732.786, 3320484 3094.883, 3320503 3104.238, 3320613 2984.413, 3320694 3021.791, 3320907 2600.629, 3320797 2461.162, 3320703 2430.072, 3320668 2483.703)), ((3320437 1933.68, 3321169 2291.461, 3321001 2610.649, 3320709 3206.486, 3320589 3452.071, 3321323 3818.938, 3321583 4071.557, 3321873 3792.059, 3322140 3924.187, 3322591 3235.987, 3322686 3282.256, 3323024 2758.931, 3322681 2654.275, 3322588 2588.554, 3322826 2513.804, 3322634 2353.433, 3322724 2170.375, 3322360 1992.146, 3322361 1879.374, 3321989 1826.667, 3321908 1994.637, 3322273 2172.692, 3322173 2373.921, 3321812 2194.088, 3321686 2452.314, 3321093 2167.769, 3321263 1785.337, 3320655 1483.247, 3320437 1933.68)))"
1802458,"Ashley town, Indiana",18033,4,1026,"MULTIPOLYGON (((3397803 77263.06, 3398255 77493.63, 3398434 77141.98, 3397984 76912.02, 3397803 77263.06)), ((3395931 75394.02, 3396383 75624.77, 3396354 75687.02, 3396165 76081.78, 3397541 76797.9, 3397690 76545.7, 3397735 76317.31, 3397803 76351.74, 3397827 76363.93, 3398284 76597.44, 3398110 76942.01, 3398447 77114.68, 3398621 76770.71, 3398532 76724.84, 3398915 76021.51, 3398204 75639.69, 3398836 74301.17, 3398992 74029.65, 3398345 73677.47, 3398266 73826.59, 3398355 73874.68, 3398252 74071.01, 3398163 74023.97, 3397888 74550.28, 3397736 74466.58, 3397065 74812.61, 3395964 75332.99, 3395931 75394.02)))"
1802620,"Attica city, Indiana",18045,8,3036,"MULTIPOLYGON (((3289916 -130433.6, 3290119 -130425.6, 3290085 -130071.7, 3289976 -130030.4, 3290008 -129637.2, 3289872 -129654.8, 3289703 -129399.7, 3289830 -129087.6, 3289939 -128679.3, 3290094 -128411.4, 3290270 -128338, 3290463 -128085.7, 3290669 -127681.9, 3290777 -127788.2, 3290680 -128025.5, 3290852 -128194.6, 3290926 -128159.9, 3291092 -128079.4, 3291269 -128443.6, 3291171 -128489.8, 3291243 -128640.8, 3291340 -128735.2, 3291594 -128617.1, 3291475 -128347, 3291650 -128263.2, 3291814 -128633.2, 3292002 -128549.8, 3292261 -129113, 3292460 -129023.3, 3292541 -129202.4, 3292281 -129312.1, 3292083 -129321.3, 3292168 -129500.1, 3292396 -129394.8, 3292515 -129646.9, 3292155 -129819.9, 3292273 -130086, 3291903 -130261.1, 3291526 -129434.7, 3290905 -129727.5, 3290902 -129541.6, 3290735 -129557, 3290758 -129700, 3291056 -130324.8, 3291261 -130534, 3291631 -130767.4, 3291747 -130898.9, 3291385 -131057.8, 3291299 -130867.1, 3290917 -131043.8, 3290972 -131162.2, 3290703 -131292.3, 3290675 -131451.8, 3290432 -131031.6, 3290426 -130692.5, 3290323 -130667.5, 3289890 -130857.2, 3289916 -130433.6)))"
1802674,"Auburn city, Indiana",18033,4,13412,"MULTIPOLYGON (((3402762 58570.95, 3402896 58641.42, 3402813 58799.25, 3403129 58957.61, 3402908 59372.1, 3402376 59500.1, 3403767 60168.96, 3403760 60182.42, 3403831 60219.79, 3403787 60935.44, 3404194 60871.55, 3404736 61159.43, 3404822 61149.5, 3404611 61554.25, 3404424 61652.57, 3404337 61869.49, 3404152 61925.37, 3404362 62037.45, 3404205 62334.88, 3404110 62209.57, 3403690 61983.75, 3403631 62626.84, 3403971 62806.54, 3404122 62691.45, 3404402 62848.77, 3404353 63275.52, 3404570 63401.1, 3404640 63531.76, 3404732 63558.89, 3404825 63550.31, 3405114 63697.63, 3405139 63711.97, 3405153 63258.82, 3405492 63443.91, 3405671 63091.12, 3405574 63067.49, 3405590 62884.25, 3405159 62833.87, 3405174 62459.91, 3405236 62144.23, 3405385 62293.53, 3405928 62596.17, 3405676 63082.13, 3406962 63776.15, 3407134 63753.38, 3407275 63480.07, 3407613 62835.25, 3407507 62673.74, 3407632 62588.08, 3407848 62182.41, 3407591 62011.99, 3407854 61466.76, 3408231 61672.77, 3408316 61511.42, 3408438 61471.47, 3408468 61214.76, 3408085 60430.39, 3408123 60312.98, 3408178 60314.56, 3408413 59894.55, 3408319 59843.56, 3408498 59511.13, 3408816 59675.97, 3408937 59463.63, 3408856 59399.8, 3408950 59221.75, 3408874 59093.39, 3408640 59108.46, 3408066 59426.32, 3408183 59487.38, 3407985 59588.09, 3407786 59553.78, 3407606 59459.32, 3407728 59234.75, 3407082 58896.4, 3406997 59102.29, 3406780 58989.48, 3406851 58852.75, 3406490 58660.97, 3406554 58446.31, 3407831 58752.35, 3407968 58496.08, 3407367 58198.01, 3407247 58421.07, 3406821 58209.46, 3406888 58059.56, 3406655 57943.61, 3406635 58116.85, 3406363 57980.31, 3405347 57461.32, 3405289 57666.84, 3405142 57653.72, 3405115 57675.83, 3405008 57747.62, 3404716 57433.2, 3404402 57281.63, 3404531 57043.6, 3404451 56907.87, 3403896 56641.29, 3403601 57362.2, 3403406 57348.44, 3404139 57729.87, 3404607 57969.75, 3404576 58147.26, 3404756 58239.75, 3404510 58720.15, 3404013 58475.78, 3404056 57963.56, 3404057 57962.11, 3403788 58363.58, 3403196 58072.52, 3403013 58419.81, 3402876 58352.74, 3402762 58570.95), (3404468 60553.43, 3404687 60669.09, 3404671 60678.52, 3404504 60746.29, 3404400 60690.77, 3404468 60553.43), (3404904 61008.91, 3404930 61020.12, 3405129 61131.69, 3405114 61293.82, 3404837 61137.63, 3404904 61008.91), (3407474 61085.89, 3407554 61194.18, 3407893 60550.18, 3408136 60679.44, 3407768 61378.65, 3407810 61445, 3407401 61222.93, 3407474 61085.89), (3408123 60312.98, 3408041 60269.64, 3408010 60326.99, 3407810 60222.32, 3408092 60153.72, 3408135 60190.53, 3408124 60309.96, 3408123 60312.98)))"
1803664,"Batesville city, Indiana",18137,6,7202,"MULTIPOLYGON (((3493751 -153498.7, 3493886 -153734.7, 3494031 -153601.5, 3494330 -153463.6, 3494093 -153430, 3494136 -153310.8, 3493946 -152939.8, 3494125 -152853.3, 3494337 -153210.4, 3494641 -153059.1, 3494653 -153217.1, 3495012 -153261.6, 3494856 -152952.6, 3495194 -152735.8, 3495039 -152586.5, 3494797 -152119.2, 3495052 -152017.2, 3495372 -151949.8, 3495768 -151949.4, 3496101 -152000.7, 3496042 -151878, 3496394 -151694.1, 3495865 -150641.8, 3496228 -150417.2, 3496315 -150590.8, 3496526 -150486.1, 3496669 -150422.8, 3496687 -150459.5, 3496852 -150374.7, 3496934 -150534.2, 3497131 -150438.9, 3497683 -151535.8, 3497322 -151719, 3497478 -152020.9, 3497506 -152095.1, 3497862 -152062.2, 3498003 -152331.8, 3498067 -152232.2, 3498197 -152325.5, 3498269 -152227.9, 3498157 -152132.3, 3498214 -152032.6, 3499497 -151920.5, 3499695 -151914.8, 3499865 -152242, 3500307 -152020.4, 3500416 -152002.9, 3500557 -152275.2, 3500795 -152339.6, 3501045 -152181.3, 3501294 -152162.1, 3501334 -152236.2, 3501425 -152403.5, 3501175 -152427, 3500852 -152616.3, 3500929 -152752.8, 3500691 -152895.7, 3500793 -153092.2, 3499801 -153241, 3500047 -153657.1, 3499819 -153620.7, 3499946 -153816, 3499847 -153829.8, 3499580 -153680.7, 3499540 -153754.2, 3499886 -154050.6, 3499863 -154208.3, 3499580 -154218.4, 3499863 -154286.9, 3499680 -154474.2, 3499521 -154455.4, 3499692 -154614.6, 3499567 -154684.6, 3499765 -154881, 3499616 -155121.6, 3499311 -155282, 3499145 -154950.1, 3499017 -155019, 3498814 -154622.9, 3498500 -154784.2, 3498419 -154626.2, 3498303 -154685.4, 3498382 -154843.1, 3497851 -155109.6, 3497833 -155070.8, 3497722 -155174.7, 3497496 -155172.8, 3497322 -155059, 3497314 -154942.1, 3497183 -155001.6, 3497168 -155152.9, 3496979 -155239.3, 3496917 -155119.3, 3496800 -155177.8, 3496630 -154982, 3496345 -155097.7, 3496311 -154981, 3496836 -154719, 3496956 -154561.6, 3496811 -154274.4, 3496425 -154457.6, 3496419 -154561, 3495989 -154768.7, 3495661 -154001.9, 3495479 -153982.6, 3495269 -154381.5, 3495156 -154115.7, 3495208 -153966.3, 3493985 -153959.5, 3493751 -153498.7), (3497015 -155068.6, 3497276 -154852.1, 3497187 -154759.6, 3496993 -154634.4, 3496899 -154674, 3496901 -154857, 3497015 -155068.6), (3498676 -154349.6, 3499017 -154175.3, 3498836 -153792.3, 3498786 -153598.7, 3498389 -153790.6, 3498676 -154349.6), (3499852 -153131.9, 3500069 -152971.8, 3500125 -152755.6, 3500228 -152943.7, 3500603 -152749.2, 3500387 -152335.7, 3499682 -152750.6, 3499852 -153131.9)))"
