city_fips,city_name,cty_fips,rucc,y2020,geometry_wkt
5300100,"Aberdeen city, Washington",53027,4,17013,"MULTIPOLYGON (((282310.6 6157.852, 282333 6237.237, 282325.5 6310.395, 282562.6 6240.825, 282794.6 6090.12, 283374.9 6059.916, 283365.8 5835.616, 283105.2 5842.827, 283096 5642.454, 282381.3 5661.884, 282317.5 5775.076, 282300.3 5829.568, 282310.6 6157.852)), ((277609.3 3651.146, 279224 3578.191, 279202.4 3078.649, 279568.4 3059.174, 279562.2 2961.161, 279198 2975.562, 279137.4 1598.39, 279136.1 1568.619, 278736.5 1586.495, 278747.1 1818.191, 278531 1953.32, 278357 2005.304, 278363.8 2172.39, 278103.6 2124.396, 277665.7 2321.491, 277569.3 2289.438, 277609.3 3651.146)), ((269738.6 2699.282, 269801.9 4022.369, 271222.1 3919.477, 272241.7 3864.111, 272815.1 3836.032, 273184.4 3834.163, 273186.8 3922.083, 272819.6 3936.889, 272842.7 4431.137, 272863.3 4636.188, 273490.1 4606.428, 273565.1 4550.56, 273801.8 4294.384, 273642.8 3799.27, 274062.3 3781.829, 274089.5 3780.892, 275429.9 3730.841, 276031.6 3711.111, 275999.1 3178.052, 275982.7 2908.858, 275980.1 2794.353, 275961.4 2257.091, 275954.1 2083.236, 275898.4 816.5893, 275882.4 247.2903, 275879 121.8007, 275484.4 110.1061, 275464.2 -271.5497, 275647.1 -275.5553, 275634.3 -616.8803, 275037.9 -663.0906, 275003.1 -1450.536, 274610.9 -1440.346, 274626.4 -1050.277, 274220.5 -1038.867, 273158 -981.5519, 273034.5 -982.3305, 272636.6 -962.9979, 272806.4 -1366.823, 273009.1 -1374.573, 272994 -1803.936, 272991.9 -1843.465, 272970.6 -2179.567, 272560.6 -2156.757, 272601.2 -1352.179, 272271.8 -1337.042, 272188.5 -1332.912, 272217.5 -950.9347, 270978.4 -890.1318, 271201.4 -1017.024, 271342.3 -1038.437, 271211.9 -1235.971, 271259.2 -1381.025, 270597 -1759.7, 270416 -1792.887, 270127.5 -1779.675, 270058.4 -1580.123, 270209.9 -1529.211, 270178.5 -1270.494, 270263.8 -1001.226, 270765.4 -879.3509, 270285.7 -870.0839, 270342.5 -833.8458, 271237 -652.2188, 271079.8 -343.7844, 271056.3 -297.6226, 270833.4 139.7941, 270276.8 545.1494, 270313.3 1641.315, 270320.4 1842.103, 270323.9 1941.442, 270342.6 2344.178, 270164.2 2344.284, 269721.1 2367.157, 269738.6 2699.282), (274626.4 -1050.277, 274834.8 -1056.07, 274851.7 -736.4908, 274896.6 -735.7696, 274900.2 -677.0482, 274642.6 -668.5827, 274626.4 -1050.277), (272601.2 -1352.179, 272776.9 -1364.008, 272619.1 -995.4771, 272607.2 -1236.247, 272601.2 -1352.179)))"
5301990,"Anacortes city, Washington",53057,3,17637,"MULTIPOLYGON (((361885.6 167830.4, 361996.4 168004.6, 361941.3 168188.2, 362095.6 168463.6, 362588.7 168453.5, 362665.4 168452, 362721.6 168772.2, 362905.1 168909.5, 362918.1 169128.9, 363237.1 169436.1, 363632.3 169279.1, 363693.5 169131, 363786 168906.9, 364193.6 168841.1, 365194.3 169279.9, 366802.3 169985.5, 368365.6 170672.1, 368390.4 170683, 368999.4 170749.6, 369514 170603.6, 369659.1 169882.1, 369601.1 169625.4, 369166.8 169592.6, 369089.7 169296.7, 369013.8 169053.1, 369341.7 168800.5, 369318.2 168538.3, 369346.3 168046, 369395.8 167443.3, 369737.5 166649.7, 369820.2 166612.2, 370053.7 166506.4, 370107.3 166403.4, 370053.3 166340.6, 369959.6 166231.7, 369978.7 166175.1, 370181.7 165574.9, 370195.5 165517, 370379.6 164745.9, 370438.3 164500, 370801 164211.2, 371221.6 164149.1, 371457.5 164476.9, 371462.6 164702.9, 371551.5 164122.2, 371924 164064.5, 372302.1 163958.4, 372470.8 163970.5, 374050.7 164420.3, 374249.5 164375, 374301.8 164339.2, 374529.3 164183.5, 374706.2 163863.6, 374704.4 163785.7, 374491.8 163789.3, 374404.6 164067.9, 374307.4 163806.3, 373910 164026.9, 373895 163894, 373798 163553.5, 373491.6 163553.3, 372288.3 163593.5, 371890.2 163668, 371680.9 163790.3, 371505 163826.5, 371506 164006.4, 371414.8 164087.3, 370873.4 164130.6, 370918.2 163929.2, 370696.8 163922.8, 370695.6 163858.2, 370323.7 163875.1, 370207.8 164063.1, 369898.9 164076.2, 369902.8 164228.6, 370121.3 164221.9, 370125.9 164339, 370411.1 164350.9, 370197.8 165340.3, 369954.1 165750.8, 369832 166159.3, 369607.2 166519, 367554.3 166583, 367529.1 166172.6, 368349 166145.9, 368342.5 165323.5, 368947.8 165311.3, 368951.6 165513.6, 369149.9 165510.2, 369143.3 164901.6, 369919.3 164890.6, 369909.1 164482, 369508.7 164492, 369469.6 163304.6, 368689.9 163350.3, 368683.7 162944.1, 368767.8 162534.5, 367873.4 162571.6, 367874.5 162972.6, 367065.9 162971.9, 367063.9 163329.1, 366530.8 163297.9, 366399.2 163324.1, 366270.3 163495.9, 366273.9 163729.5, 366680.2 163713.3, 366682.1 164567.5, 366275.5 164564.7, 366270.7 164996.6, 366673.6 165000.6, 366727.5 165778.1, 366681 166488.7, 366733.6 166589.2, 364450.8 166617.8, 364450.5 166618.8, 364376.7 166867, 363788.4 167249, 362934.1 167532.4, 362666.8 167381.1, 362316.9 167442.1, 361831.9 167566.7, 361885.6 167830.4)))"
5303075,"Asotin city, Washington",53003,3,1204,"MULTIPOLYGON (((790209 -65453.29, 790507.1 -65712.78, 790501 -65362.53, 790782.9 -65634.89, 790964.6 -65728.21, 791118.9 -65807.43, 791608.2 -65932.87, 792462.3 -66021, 792758.4 -66118.26, 792992.2 -66280.83, 793307.5 -66574.19, 793367.7 -66706.71, 793369.1 -66720.55, 792842.2 -66763.79, 792974 -66919.82, 793213.2 -67551.32, 792655 -67573.36, 792629.3 -67161, 791412.5 -67219.68, 791379.2 -66801.01, 790989.3 -66820.41, 790572.1 -66839.34, 790549 -66504.79, 790510.6 -65789.66, 790303.7 -65615.77, 790209 -65453.29)))"
5305280,"Bellingham city, Washington",53073,3,91482,"MULTIPOLYGON (((375243.1 201565.6, 376165.3 201582.9, 376404.4 201540.8, 376495.4 201348.3, 376947.8 201321.9, 376981.8 201952.7, 377190.6 201948.4, 377218.1 203149, 377016.2 203154.8, 377021.1 203371.2, 377224.9 203361.9, 377828.1 203342.8, 377829.6 203403.7, 378636.3 203376.5, 378612.5 202317.7, 378990.1 202308.2, 378990 201902.5, 380227.8 201842.4, 380605.1 201842.4, 380591.4 201053.2, 381371.7 201019.3, 381373.6 201425.3, 382384.1 201408.6, 382370.8 200587, 382170.5 200591.3, 382167.7 200389.3, 381966.7 200391.6, 381965.3 200191.2, 382468.6 200180.4, 383299.3 200147.5, 383312.7 200172.7, 383355 200587.4, 383588.8 200583.6, 383633 200582.9, 383762.5 200702.5, 383851.7 200469.7, 383766.2 200427.7, 383742.6 199766.9, 383398.3 199739.2, 383331.2 199362.7, 383308.6 198509.9, 383308.2 198456, 384129.4 198460.8, 384124.4 198251.9, 384121.7 198159.1, 384916.9 198130.3, 384882.5 196464.2, 384562.7 196351.5, 383969.9 196142.9, 383682.5 196149.9, 383675.5 195953.3, 383490.3 195955.6, 383272.9 195912.9, 383245.9 194535.1, 383226.5 194148.4, 382363 194162.4, 381639.6 194184.8, 381334.4 194151.2, 381331.5 193991, 380823.2 194006.5, 380802.5 193191.7, 380725.2 190986.3, 381374.6 190981, 381831.8 190943, 381949.7 190883.3, 382730.9 190210, 382863 190140.8, 382995.5 190073.4, 382968.4 189086.7, 382820.9 189065.6, 382340.5 189269.3, 381713.1 189494.9, 381416.7 189553.6, 381419.3 189763.8, 381058.2 189770.2, 381055.3 189567.4, 380632.4 189777.6, 379025.2 189831.4, 378840.3 189839.9, 377472.7 189872.6, 377374.3 190106.9, 377412.3 190187.3, 377521.1 190417.8, 377333.5 190648.6, 377013.8 190428.8, 376729.4 190225.5, 376808.5 189839.9, 376973.9 189400.1, 376963.8 189127.8, 376889.9 189170.1, 376886.1 189172.3, 376830.2 189204.2, 376774 189236.4, 376360 190041.4, 376182.2 190541.7, 376208.6 190618.7, 376283.2 190835.7, 376155.7 191287.7, 376152.7 191298.5, 375947.6 191831.6, 375952 192283.7, 376236.1 192703.7, 376402.1 192866.9, 376770.3 192782, 376819.7 192770.6, 376967.6 193080.6, 376961.3 193182.8, 376943.3 193472.9, 377213.1 193965.4, 377425.5 193995.6, 377432.6 194009.8, 377486.1 194116.6, 377744.2 194632.4, 378075.7 195045.1, 378070.8 195052.4, 377838.6 195398.9, 377848.6 195407.3, 378141.3 195653.9, 378147 195799.6, 378155.4 196014.1, 377857.4 196270.1, 377784 196267.8, 377669 196264.1, 376986.8 196428.4, 376556 196716.6, 376539.2 196764.7, 376489.8 196905.2, 376781.3 197309, 376281.3 197535.9, 376353.4 197715.5, 376594.4 197907.1, 376906.5 197943.4, 376910.3 198089.1, 376909.7 198110.1, 376763.9 198125.1, 376657.6 198116.1, 376182 198256.2, 376194.8 198916.3, 376200.9 199540, 376148.2 199540.2, 376154.3 199740.1, 375844.8 199744.8, 375755.1 199944.4, 375761.6 200347.1, 375563.3 200350.4, 375573.3 200754.9, 375749 200750.2, 375243.1 201565.6)))"
5306505,"Blaine city, Washington",53073,3,5884,"MULTIPOLYGON (((356227.5 221130.7, 356259.2 221435.9, 357959 223174.1, 358378 223214.1, 358543.8 223229.9, 359044.5 223669.9, 359427.3 223827.9, 359317 224082.7, 359179.9 224402.7, 360206.3 224376.4, 360610.2 224366.1, 360775.9 224361.8, 360839 224360.2, 363028.1 224305, 366660.1 224215.2, 366647.8 223237.9, 363130.9 223366.5, 363022.7 223369, 361721 223404.4, 361637.3 223202.4, 361638.7 223018.7, 361524.7 223022.1, 361499.1 221963.9, 361794.1 221955.5, 361792.1 221749.8, 361883.7 221744.8, 361869.5 221014, 361909 220963.6, 361869.6 220937.8, 361934.7 220850.5, 361930.8 220694.4, 361727.1 220910, 361469.9 221183.9, 361465.1 221003.5, 361360.7 221019.8, 361256.6 221017.2, 361098.2 221045, 359911.2 221077.2, 359029.5 222137.6, 358735.8 222518.7, 358532.4 222786.1, 358534.2 222625, 358401.4 222535.9, 357869.3 222396, 357670.2 222257.8, 357397.2 221660.7, 357667.8 221364.1, 357586.9 220989.3, 358123.4 221025.4, 358145.9 220813.6, 358651.9 220847.1, 358694.2 220741.2, 359017.8 219977.7, 358928.4 219942.8, 358642.9 220104, 358143.3 220241.3, 358094.3 218681.6, 356522.9 218753.8, 356617 220779.4, 355982.4 220812.4, 356227.5 221130.7)))"
5307695,"Bremerton city, Washington",53035,2,43505,"MULTIPOLYGON (((359637.2 59908.75, 359738.7 60030.63, 360072.3 60019.45, 360243.3 60212.87, 360275.9 60213.16, 360642 60278.53, 360667.4 60080.06, 361030 60070.69, 361018.2 59462.19, 360797.8 59464.37, 360788.6 59238.83, 360668.2 59241.5, 360664.3 59140.5, 361005.4 59134.31, 360983.1 58631.05, 359783.6 58655.17, 359807.8 59171.39, 359607.7 59176.9, 359637.2 59908.75)), ((354065 65082.39, 354858.2 65047.99, 354855 64848.22, 354061.1 64882.63, 354065 65082.39)), ((353664.1 64899.66, 354061.1 64882.63, 354052.6 64483.03, 353656.2 64499.82, 353664.1 64899.66)), ((351561 62180.23, 351581 62578.1, 352383.2 62541.8, 352405.4 62940.62, 352813.7 62922.33, 352788.3 62527.04, 353190.1 62511.95, 353222.9 63312.1, 353619.5 63299.17, 353630.9 63699.37, 353643.5 64099.54, 354040.6 64083.29, 354052.6 64483.03, 356034.2 64415.39, 356430.7 64407.21, 356406.4 63606.74, 356365.1 62400.97, 356767 62395.13, 356778.6 62796, 357867.5 62784.52, 357915.9 62958.49, 358318.3 63522.16, 358297.3 62779.65, 358566.3 62773.3, 358697.7 62770.09, 358709.6 63173.62, 359110 63163.75, 359110.6 63701.34, 359033.3 63974.25, 359153.6 64180.18, 359139.9 64180.41, 359169.1 64971.87, 359005.6 64913.79, 358920.2 65190.24, 358787.5 65192.92, 358717 65193.97, 358695.5 65292.14, 358677.2 65351.08, 358659.4 65351.52, 358676.7 65286.59, 358657.6 65280.5, 358677 65194.84, 358431.1 65201.18, 358380.5 65202.3, 358344.4 64395.11, 358160.1 63834.32, 357858.4 63590.48, 357572.9 63415.89, 357470.9 63391.93, 357373.9 63427.01, 357323 63484.32, 357300 63590.54, 357386.5 64231.45, 357465.9 64482.17, 357606.9 64653.42, 357683.8 65050.68, 357735.2 65626.73, 357874.7 65832.38, 357976.2 65877.49, 358035.2 65760.27, 358275.5 65895.73, 358325.8 66018.62, 358346.3 66035.91, 358417 66098.02, 358422.1 66190.2, 358437.7 66310.93, 358460.1 66417.37, 358486.5 66262.69, 358658.8 66162.28, 358750.9 66242.78, 358829.6 66303.69, 359076.2 66263.87, 359089.1 66288.25, 359225.6 66299.05, 359235.5 66500.22, 359468.8 66519.35, 359469 66292.69, 359615.1 66289.37, 359645.9 66774.4, 359646.7 66793.73, 359716.5 68001.93, 359795 68001.14, 360440 67986.65, 360522.7 67866, 360898.7 67812.02, 360951.7 67985.46, 360986.3 68024.44, 361225.2 68114.35, 361621.4 67931.92, 361646.4 67843.69, 361697.8 67740.03, 361658.5 67320.26, 361630.5 65952.79, 361753.4 66004.13, 361926.5 66001.44, 361997.6 65584.03, 362201 65707.19, 362325.4 65283.85, 362597.9 65268.48, 362606.6 65572.1, 362480.6 65626.25, 362439.7 65991, 362614.6 66016.87, 362614 66048.92, 362475.7 66146.29, 362442.3 66648.53, 362544.4 67208.51, 362621.1 67331.02, 363091.6 67211.66, 363189.6 67083.01, 363358.4 66802.77, 363378.6 66819.64, 363732.3 66954.54, 363699.5 67214.33, 363493.5 67227.63, 363500.6 67429.31, 363321 67501.17, 362963.5 67417.65, 362893.1 67368.94, 362713.3 67459.51, 362692.1 68040.98, 362714.3 68179.8, 363351.7 68316.41, 363376.7 68657.23, 363779.9 68646.84, 363751.4 68220.46, 364157.9 68218.68, 364172.4 68458, 364362.5 68318.64, 364560.5 68314.12, 364615.3 69056.95, 365009.6 69049.84, 365419.1 69039.19, 365605.7 69034.41, 365545.6 67786.91, 365758.8 67780.18, 365670.2 67727.96, 365654.3 67377.35, 365718.9 67107.06, 365511.9 67137.11, 365508.8 66976.82, 365714.7 66972.48, 365856.4 66966.19, 365923 67166.83, 366122.9 67131.84, 366115.9 66962.29, 365984 66962.12, 366008.9 66459.43, 366096.6 66456.96, 366499.2 66452.1, 366486.2 66145.46, 366891.7 66134.34, 366873 65712.51, 366644.1 65695.54, 366617.6 65362.4, 366870.3 65341.33, 366573.2 64906.28, 366517.9 64825.44, 366298.4 64644.9, 366034.4 64638.55, 365775.5 65016.55, 365484.2 65085.58, 365480.3 65077.24, 365381.8 64867.02, 365345.2 64788.99, 365281.7 64268.78, 365129.4 64023.91, 365076.4 63938.71, 364320.9 63839.81, 363855.8 63474.39, 363107.8 63412.29, 362888.1 63269.7, 362747.9 63178.75, 362785.3 63376.33, 362627.6 63291.09, 362572.7 63499.36, 362381.3 63499.46, 362356.1 63902.31, 362209.5 63941.94, 362274.8 64512.58, 362202.3 64514.08, 361974 64524.97, 361969.9 64325.1, 361786.2 64323.48, 361768.7 64161.86, 361560.4 64158.06, 361562.2 63988.86, 361663.2 63851.32, 361820 63689.54, 361728 63172.6, 361764.9 62702.18, 361705.7 62695.59, 361596 62601.23, 361103.6 62598.34, 361073.3 62539.35, 361027.2 62315.47, 360780.7 62318.72, 360683.6 62323.39, 359892.1 62337.7, 359893 62388.17, 359492.7 62346.94, 359486.8 61942.82, 359287.5 61947.21, 359283.9 61644.24, 359083.3 61547.47, 359078.4 61143, 358894.1 61146.81, 358864.3 60730.38, 358863.7 60702.92, 358857.9 60546.7, 358461 60467.97, 358348.4 59989.27, 358442.7 59932.7, 358430.1 59549.54, 357831.4 59560.3, 357836 59743.58, 357904.4 59979.35, 357919.5 60034.7, 357691.8 59956.65, 357211 59576.45, 356689.6 59586.32, 356679 59078.33, 356227.9 58647.98, 356261.5 58613.23, 356276.9 58400.32, 356446.4 58389.44, 356666.5 58124.31, 356656.2 57558.26, 356273.6 57592.42, 356253.5 56782.83, 355871.3 56818.24, 355879 56413.44, 355479.2 56454.43, 355464.9 55629.23, 356221.7 55561.59, 356194.9 54585.57, 354610.5 53494.57, 354227 53601.07, 354236.5 54001.76, 353831.7 54004.72, 353817.6 53520.5, 353614.7 53553.98, 353417 53729.36, 353398.2 53175.98, 351685.3 53257, 351698 54102.37, 351858.8 53935.99, 352077.2 54146.96, 351861.2 54370.79, 352036.9 54539.58, 352252.3 54316.1, 352545.2 54598.37, 352363.7 54847.44, 353212.2 55673.04, 353423.5 55670.47, 353415.5 55869.64, 353386.1 57154.04, 353394.8 57976.6, 353621.9 57971.08, 353646.8 58175.86, 353509.3 58179.9, 353524.2 58555.32, 353698.7 58550.35, 353749.4 58924.21, 353829.2 58920.3, 353837.7 59094.25, 353841.9 59303.45, 354162.6 59291.37, 354246.1 59328.97, 354285.1 60221.17, 354296.7 60470.55, 353497.4 60498.72, 353487 60282.11, 353477.9 60097.39, 351846.1 60154.23, 351883.8 60850.04, 351884.9 60875.71, 351932.3 61757, 351542.1 61780.11, 351561 62180.23), (355066.9 57915.3, 355475.6 57856.61, 355495.6 57876.01, 355613.8 57930.57, 355891 57627.06, 355896 57818.45, 355712.5 58017.53, 355836.8 58080.83, 356066.6 58018.06, 355862.2 58227.89, 355800.6 58167.92, 355795.6 58438.63, 355499.5 58465.69, 355504.1 58310.32, 355372.8 58320.6, 355070.1 58119.41, 355066.9 57915.3), (359946.8 64358.34, 360152.3 64354.16, 360138.4 63948.12, 360233.9 63945.81, 360228.5 63748.54, 360331.2 63747.51, 360324.8 63538.25, 361032.9 63520.88, 361040.1 63727.11, 360936.2 63830.59, 360739.7 63834.53, 360743.2 63935.99, 360540.7 63940.08, 360557.6 64449.81, 360509.7 64549.5, 360357.7 64552.49, 360364.7 64800, 360369 64957.04, 359971.5 64964.19, 359984.4 64768.92, 360012.1 64676.17, 359954.9 64665.88, 359951.8 64514.92, 360085.6 64512.8, 359946.8 64358.34)))"
5308920,"Burlington city, Washington",53057,3,9152,"MULTIPOLYGON (((387343.5 164847.5, 387721.4 164829.3, 387730.3 165150.2, 388431.6 165128.3, 388441.3 165486, 388503.4 165715.7, 388529.9 165771, 388853.6 166178.1, 388956.9 166035.8, 388991.8 166062.9, 389045.2 167092.1, 389839.4 167066.1, 389803.4 166681.1, 390007.1 166742.3, 390219.6 166688.9, 390168.9 165888.8, 390132.8 165708.1, 390561 165680, 390567.3 165966.8, 390696.9 166042.9, 390956.8 166025, 390951.9 165858.2, 390945.8 165469.5, 390940.1 165087.1, 390745.2 165093.5, 390737.8 164869.6, 390938.4 164913.2, 390940.2 165004.8, 391056.9 164772.8, 390936.2 164664.9, 390937.6 164170.1, 390790.1 164114.5, 390666.8 163858, 390608.3 163488, 390319.4 163259, 390054.5 162898.2, 389958.7 162627.2, 390000.6 162145.9, 389956 161882.6, 389864 161805.4, 389675 161784.3, 388774.2 161708.2, 388463.1 161733.6, 388039.8 161824.9, 388049.9 162354.6, 387995.8 163151.7, 388095.9 163160.5, 388102.1 163475.3, 388103.4 163544.8, 388118.9 164342.9, 388047.7 164421.9, 388047.9 164455.4, 387958.9 164414.3, 387816.1 164419, 387822.2 164756.6, 387342.8 164776.2, 387343.5 164847.5)))"
5310495,"Cashmere city, Washington",53007,3,3248,"MULTIPOLYGON (((525731.3 58365.74, 525778.6 58235.09, 525825.5 58271.32, 526134.2 58120.72, 526134.6 58110.49, 526266.4 58302.99, 526403.3 58166.3, 526915.1 58069.04, 526944.4 58063.62, 526957.3 58144.39, 527074 58279.24, 527481.4 58499.41, 528344 58152.01, 528533.5 57971.38, 528607.6 57965.96, 528835.2 57724.16, 528982.1 57477.4, 529055.8 57381.82, 529104.6 57235.97, 529081.7 56867.29, 529015.6 56552.2, 528952.4 56478.62, 528539 57157.55, 528284.3 57453.16, 528221.5 57393.48, 528055.9 57507.2, 527895.3 57505.98, 527877.3 57418.73, 528194.4 57083.16, 528202.5 56959.56, 527844.9 57019.54, 527702.8 56999.4, 527486 57098.43, 527172.1 57098.51, 527178.8 57038.95, 526998.3 56977.29, 526712.4 56835.98, 526682.8 56952.92, 526594.1 57025.34, 526567.6 57344.31, 526169.7 57341.28, 526160.4 57541.25, 525974.1 57541.63, 525960 57957.72, 525743.6 57952.42, 525731.3 58365.74), (526150.9 57735.11, 526398.1 57736.67, 526329.8 57808.63, 526283.9 57955.29, 526341.4 57954.22, 526334 58025.57, 526139.3 58000.33, 526150.9 57735.11), (526614.7 57767.24, 526828.8 57742.99, 526869.4 57623.32, 526946.8 57759.1, 526945.9 57870.05, 526932 57874.77, 526922.7 57880.18, 526908.8 57893.01, 526905.9 57908.56, 526908 57923.91, 526905.5 57938.91, 526899.7 57948.45, 526900.1 57952.01, 526873 57915.08, 526699.8 57952.86, 526662.4 57816.6, 526614.7 57767.24)))"
5310565,"Castle Rock city, Washington",53015,3,2446,"MULTIPOLYGON (((338498.4 -77253.85, 339682.1 -77283.85, 339911.3 -77496.29, 340031.7 -77750.18, 340244.7 -77871.62, 340252.8 -77436.42, 340385.3 -77216.93, 340498.7 -77185.94, 340888.3 -76828.85, 341375.8 -76835.57, 341373.9 -76938.87, 341173.4 -76935.5, 341167.7 -77233.27, 340877.8 -77291.8, 340962.6 -77419.89, 340949.8 -78000.03, 340682.8 -78028.36, 340829.4 -78428.44, 340618.5 -78445.7, 340483.5 -78431.72, 340704.5 -78848.83, 340377.9 -78840.27, 340375.8 -79310.35, 340687.7 -79627.22, 341126.6 -79650.34, 341381 -80141.51, 341458.1 -80155.81, 341291 -79676.1, 341332 -79677.53, 341712.3 -79690.91, 341703.7 -80019.19, 341989.3 -80102.45, 342089.4 -80102.45, 342079.6 -80626.05, 342077.6 -80721.33, 341814.8 -80662.6, 341635.6 -80662.61, 341747.3 -81034.93, 341453.1 -81616.58, 341338.1 -81668.02, 341269.8 -81581.09, 341106.2 -81288.8, 340929.4 -80905.04, 340740.9 -80334.07, 340586 -79830.19, 340465.5 -79645.17, 340217.7 -79392.87, 339856.4 -79362.77, 339638.5 -79416.07, 339422.2 -79467.62, 339403 -79494.24, 339225 -79688.67, 338760.5 -79439, 338635.6 -79446.5, 338811.6 -78806.71, 338746.5 -78471.98, 338850.1 -78266.98, 338969.1 -78288.46, 339013.6 -78142.15, 339149 -77697.05, 338825.3 -77713.52, 338830.1 -77511.73, 338962.7 -77474.84, 338452.3 -77465.63, 338498.4 -77253.85)))"
5311160,"Centralia city, Washington",53041,4,18183,"MULTIPOLYGON (((332954.3 -27024.68, 333029.9 -27034.06, 333287.4 -27030.46, 333323.9 -26089.11, 333885.9 -25983.88, 333955.3 -25896.18, 334184.8 -25903.44, 334127.5 -26328.52, 333934.5 -26264.34, 333852.9 -26729.67, 333960.5 -26646.61, 334402.4 -26656.63, 334447 -26472.78, 334524.7 -26507.9, 334501.6 -27073.55, 334977.4 -27090.03, 335039.6 -26847.95, 334930.9 -26670.26, 335276.7 -26687.3, 335260.7 -27066.27, 335455.8 -27089.42, 335478.6 -26575.6, 335789.2 -26591.07, 335793.2 -26464.15, 336212.3 -27026, 336287.7 -27113.31, 336287.3 -27135.76, 336342.3 -27138.29, 336348 -26982.39, 336579.1 -26991.27, 336580.2 -26946.47, 336794.4 -26954.09, 336791.5 -27035.87, 336978.7 -27045.63, 336975.5 -27164.23, 337107.1 -27172.1, 336973.8 -27387.76, 336967.8 -27655.89, 337421.9 -27510.73, 337699.7 -27808.39, 337907.4 -27715.23, 337912.8 -27354.65, 337579.9 -27290.18, 337587.3 -27182.6, 337758 -27185.98, 337758.5 -27054.85, 337522.8 -27104.62, 337526.6 -26780.7, 337287.1 -26771.08, 337299.5 -26370.42, 337380.2 -26373.66, 337557.2 -26113.04, 337549.8 -25967.45, 337941.3 -25992.27, 337970.6 -25665.05, 338204.4 -25255.03, 338401.2 -25034.75, 338488.2 -24836.93, 338646.8 -24902.12, 338607.2 -26419.81, 338042.6 -26399.73, 338038.2 -26600.49, 338134.5 -26603.48, 338117.8 -27039.27, 338009.8 -27179.46, 338181.5 -27195.09, 338178.7 -27362.19, 338310.9 -27309.32, 338205.1 -27049.91, 338285.5 -26864.69, 338593.4 -26933.22, 338741.6 -26826.61, 338778 -26827.83, 338563 -27409.79, 338985.1 -27424.7, 339138.4 -27488.3, 339289.3 -27387.08, 339294 -27246.95, 339643 -27258.48, 339686.9 -27509.06, 339485.2 -27869.62, 339478 -28082.21, 339370.9 -28083.96, 339374.2 -27967.93, 339183.4 -27973.61, 339219.8 -28073.16, 338968.1 -28082.29, 338961.9 -28317.72, 339164.3 -28272.31, 339565.9 -28285.28, 339558.6 -28492.08, 339761.1 -28497.05, 339756 -28698.24, 339947.7 -28703.68, 339940.7 -28897.59, 340147.8 -28909.78, 340136.2 -29310.46, 339347.1 -29290.08, 339326.2 -29751.79, 339429.7 -29754.06, 339426.5 -29911.48, 339353.1 -29930.61, 339216.6 -29855.7, 339218 -29785.21, 339127.7 -29782.19, 339126 -29864.12, 338927.3 -29860.13, 338929.1 -29773.31, 338800.4 -29765.89, 338802 -29680.28, 338704.7 -29678.39, 338701.4 -29787.09, 338695.9 -30077.37, 338118.5 -30065.29, 338108.5 -30463.9, 337909.1 -30454.3, 337896.1 -30912.9, 338102.9 -30920.37, 338088.1 -31191.04, 338064.5 -32068.58, 337864 -32049.38, 337870.8 -31806.52, 337874 -31695.93, 337696.4 -31692.15, 337674.8 -31733.82, 337529.9 -31729.94, 337524.3 -32029.78, 336958.8 -32014.03, 336937.6 -32013, 336857.9 -31993.77, 336639.6 -31947.78, 336745.3 -31200.32, 337016.8 -31213.63, 337078.1 -30974.4, 337093.8 -30647.8, 336790.1 -30631.38, 336767.2 -30799.49, 336499.9 -30786.39, 336507.1 -30544.66, 336378.1 -30538.96, 336304.6 -30376.4, 336186 -30076.1, 336138.2 -29963.2, 335721.5 -29985.95, 335672.5 -30147.77, 335688.7 -30376.81, 335300.9 -30356.96, 335300.1 -30331.8, 335286.8 -30332.31, 335158.8 -30330.18, 335162.9 -30194.25, 334982.3 -30183.62, 334988.7 -29912.5, 334651.2 -29958.98, 334575.6 -30203.13, 334425.7 -30202.36, 334423.6 -30309.76, 334019.4 -30307.93, 334028 -29902.39, 333633.2 -29900.36, 333668.3 -29486.1, 333639.1 -29435.44, 333704.9 -29408.83, 333740.5 -29035.75, 334185.2 -29241.96, 334242.5 -29232.01, 334340 -29122.52, 334923.6 -29131.69, 335305.3 -28971.31, 335268.3 -28386.18, 335266.2 -28468.21, 335035.6 -28468.53, 335074.8 -28137.04, 334863.4 -28021.76, 334669.2 -28015.98, 334783.6 -27683.7, 334614.8 -27678.74, 334621.1 -27472.01, 334398 -27464.07, 333882 -27450.18, 333857.2 -27983.64, 333794.2 -28156.61, 333669.1 -27995.79, 333660.7 -28361.18, 333463.4 -28335.13, 333290.1 -28448.13, 333099.6 -28111.25, 333015 -27797.49, 333092.4 -27608.37, 332841.3 -27048.17, 332954.3 -27024.68), (335723.9 -29055.32, 335716.3 -29464.67, 335780.5 -29543.1, 336000.2 -29552.91, 336061.1 -29230.46, 336014.5 -29101.02, 335722 -28911.33, 335723.9 -29055.32), (338541.1 -28870.69, 338800.9 -28977.03, 339147.6 -28890.2, 339348 -28895, 339353.8 -28686.27, 339154.9 -28595.29, 338794 -28573.85, 338550.4 -28467.39, 338541.1 -28870.69)))"
